the_geom,ID Upra,ID Incoder,Nombre Distrito,Código departamento,Departamento,Código municipio,Municipio,Vereda,Área neta,Área bruta,Escala,Altitud,Tipo de Distrito ,Etapa Distrito,Funciona,Numero usuarios,Administra,Asociación de usuarios,Resolucion,Usos actuales,CAR,Fuentes hídricas,Concesion,Polígono,Entidad fuente,Longitud,Latitud,Nombre subzona hidrográfica,Código Subzona hidrográfica
POINT (-76.02301137599957 5.733716616571699),ADTP0001,1,EL TABLAZO,5,ANTIOQUIA,5091,BETANIA,EL TABLAZO,180,0,Pequeña,1300,Riego y Drenaje,AOM,SI,33,ASOCIACION DE USUARIOS,ASOTABLAZO,470 del 01/12/1997,Café,,,,,,,,,
POINT (-76.00104692684206 6.440978570438724),ADTP0002,2,ANACOSCA,5,ANTIOQUIA,5125,CAICEDO,SAUCES ANACOSCA,300,0,Pequeña,1966,Riego y Drenaje,SIN INFORMACIÓN,NO,116,ASOCIACION DE USUARIOS,ASOANACOSCA,537 del 16/12/1997,Maracuyá,,,,,,,,,
POINT (-75.99825886070042 6.721739667925055),ADTP0003,3,BUENOS AIRES,5,ANTIOQUIA,5138,CAÑASGORDAS,BUENOS AIRES,30,0,Pequeña,1450,Riego y Drenaje,AOM,SI,56,ASOCIACION DE USUARIOS,ASOBUENOS AIRES,634 del 01/10/1996,Café,,,,,,,,,
POINT (-76.04641280558768 6.775033109743553),ADTP0004,4,MEMBRILLAL,5,ANTIOQUIA,5138,CAÑASGORDAS,EL PASO,73,0,Pequeña,1160,Riego y Drenaje,SIN INFORMACIÓN,NO,23,INCODER,ASOMEMBRILLAL,00123-02,Café,,,,,,,,,
POINT (-75.08163345606734 6.5524441728004446),ADTP0005,5,SANTA BARBARA,5,ANTIOQUIA,5190,CISNEROS,SANTA BARBARA,50,0,Pequeña,1400,Riego y Drenaje,AOM,SI,25,INCODER,ASOSANTABARBARA,SIN INFORMACIÓN,Maíz,,,,,,,,,
POINT (-75.55171533368066 6.564083883593169),ADTP0006,6,EL TORURO,5,ANTIOQUIA,5264,ENTRERRIOS,EL TORURO,102,0,Pequeña,0,Riego y Drenaje,AOM,SI,34,ASOCIACION DE USUARIOS,ASOTORURO,772 del 07/11/1996,Pastos,,,,,,,,,
POINT (-75.94104886292503 6.692054842754558),ADTP0007,7,EL TAMBO,5,ANTIOQUIA,5306,GIRALDO,EL TAMBO,25,0,Pequeña,2020,Riego y Drenaje,AOM,SI,44,ASOCIACION DE USUARIOS,ASOELTAMBO,300 del 21/06/1996,Cebolla,,,,,,,,,
POINT (-75.9613379284317 6.6471714168090035),ADTP0008,8,EL TOYO,5,ANTIOQUIA,5306,GIRALDO,EL TOYO,27,0,Pequeña,1900,Riego y Drenaje,AOM,SI,23,ASOCIACION DE USUARIOS,ASOTOYO,197 del 11/04/2006,Cebolla,,,,,,,,,
POINT (-75.94937418977894 6.648624801307025),ADTP0009,9,ORTRALOM - TRAVESÍAS,5,ANTIOQUIA,5306,GIRALDO,TRAVESÍAS,30,0,Pequeña,0,Riego y Drenaje,AOM,SI,30,ASOCIACION DE USUARIOS,ASORTRALOM,192 del 11/04/2006,Cebolla,,,,,,,,,
POINT (-75.80074567657398 6.691482072712594),ADTP0010,10,ENCENILLOS,5,ANTIOQUIA,5411,LIBORINA,PLAYÓN,40,0,Pequeña,2486,Riego y Drenaje,AOM,SI,25,INCODER,ASOENCENILLOS,SIN INFORMACIÓN,Pastos,,,,,,,,,
