Ciclo,Departamento,Cultivo,Calendario,Año_EVA,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Transitorio,Antioquia,Acelga,Cosechas,2022,5.91,6.07,13.32,5,12.09,12.3,9.64,7.04,5.17,7.12,6.63,9.73
Transitorio,Cauca,Acelga,Cosechas,2022,12.7,12.7,10.16,5.97,16.79,22.76,9.96,0,0,0,4.47,4.47
Transitorio,Cundinamarca,Acelga,Cosechas,2022,7.45,7.45,12.89,10.17,11.77,8.83,8.83,11.77,0.04,3.25,5.61,11.95
Transitorio,Nariño,Acelga,Cosechas,2022,0,0,23.53,0,17.65,0,17.65,0,23.53,0,17.65,0
Transitorio,Norte de Santander,Acelga,Cosechas,2022,8.89,11.11,11.11,4.44,8.89,8.89,11.11,8.89,4.44,4.44,8.89,8.89
Transitorio,Valle del Cauca,Acelga,Cosechas,2022,0,0,0,0,21.88,21.88,18.75,0,0,0,37.5,0
Transitorio,Antioquia,Acelga,Siembras,2022,9.42,7.37,13.71,7.65,8.5,5.26,10.97,5.43,13.1,9.47,6.62,2.51
Transitorio,Cauca,Acelga,Siembras,2022,6.57,15,13.69,11.39,0,0,6.84,6.84,8.85,24.26,3.94,2.63
Transitorio,Cundinamarca,Acelga,Siembras,2022,7.53,7.53,10.05,7.53,7.53,10.05,5.71,5.75,12.7,9.22,9.95,6.44
Transitorio,Nariño,Acelga,Siembras,2022,20,0,15,0,15,0,20,0,15,0,15,0
Transitorio,Norte de Santander,Acelga,Siembras,2022,2.78,0,11.11,11.11,13.89,11.11,5,5,10,10,17.5,2.5
Transitorio,Valle del Cauca,Acelga,Siembras,2022,0,0,17.5,17.5,15,0,0,30,0,20,0,0
Permanente,Antioquia,Achiote,Cosechas,2022,6.86,6.88,7.28,7.03,5.86,6.14,6.51,9.18,9.66,12.72,12.42,9.46
Permanente,Chocó,Achiote,Cosechas,2022,8.09,5.75,6.82,6.5,5.15,7.83,12.48,13.33,7.32,5.43,7.35,13.94
Permanente,La guajira,Achiote,Cosechas,2022,12.26,5.75,2.78,5.59,6.32,10.95,7.21,7.26,4.64,8.31,11.63,17.31
Permanente,Antioquia,Achiote,Siembras,2022,10.39,13.82,14.85,15.42,11.32,9.71,6.1,3.11,5.15,5.15,2.49,2.49
Permanente,Chocó,Achiote,Siembras,2022,18.28,19.05,15.61,4.35,7.65,6.56,5.47,5.47,4.39,4.39,4.39,4.39
Permanente,La guajira,Achiote,Siembras,2022,0,10,20,30,10,20,10,0,0,0,0,0
Transitorio,Boyacá,Achira,Cosechas,2022,3,7.64,4.22,9.15,9.24,15.41,11.97,9.25,6.6,7.51,4.83,11.19
Transitorio,Cauca,Achira,Cosechas,2022,0,0,0,0,0,0,0,0,0,40,30,30
Transitorio,Cundinamarca,Achira,Cosechas,2022,3,7.64,4.22,9.15,9.24,15.41,11.97,9.25,6.6,7.51,4.83,11.19
Transitorio,Huila,Achira,Cosechas,2022,0,0,0,0,0,28.57,0,21.43,10.71,10.71,0,28.57
Transitorio,Meta,Achira,Cosechas,2022,3,7.64,4.22,9.15,9.24,15.41,11.97,9.25,6.6,7.51,4.83,11.19
Transitorio,Nariño,Achira,Cosechas,2022,0.16,9.98,5.05,14.87,14.87,14.87,14.94,5.06,5.05,5.05,5.05,5.05
Transitorio,Boyacá,Achira,Siembras,2022,3.3,23.88,18.38,19.7,7.62,7.36,0.13,2.39,4.03,5.04,4.61,3.58
Transitorio,Cauca,Achira,Siembras,2022,0,50,50,0,0,0,0,0,0,0,0,0
Transitorio,Cundinamarca,Achira,Siembras,2022,3.3,23.88,18.38,19.7,7.62,7.36,0.13,2.39,4.03,5.04,4.61,3.58
Transitorio,Huila,Achira,Siembras,2022,0,46.43,10.71,21.43,0,10.71,0,10.71,0,0,0,0
Transitorio,Meta,Achira,Siembras,2022,3.3,23.88,18.38,19.7,7.62,7.36,0.13,2.39,4.03,5.04,4.61,3.58
Transitorio,Nariño,Achira,Siembras,2022,0.56,19.71,20,20,9.78,9.47,0,0,5.01,5.25,5.24,4.99
Permanente,Antioquia,Agraz,Cosechas,2022,0,0,0,50,0,0,0,0,0,50,0,0
Permanente,Boyacá,Agraz,Cosechas,2022,0,0,0,50,0,0,0,0,0,50,0,0
Permanente,Cundinamarca,Agraz,Cosechas,2022,0,0,0,50,0,0,0,0,0,50,0,0
Permanente,Antioquia,Agraz,Siembras,2022,5.27,10.69,16.18,18.76,11.82,7.27,5.44,3.76,5.92,7.94,4.5,2.46
Permanente,Boyacá,Agraz,Siembras,2022,5.27,10.69,16.18,18.76,11.82,7.27,5.44,3.76,5.92,7.94,4.5,2.46
Permanente,Cundinamarca,Agraz,Siembras,2022,5.27,10.69,16.18,18.76,11.82,7.27,5.44,3.76,5.92,7.94,4.5,2.46
Permanente,Antioquia,Aguacate,Cosechas,2022,5.99,5.34,8.81,13.36,8.04,13.96,8.04,6.3,6.9,8.45,8.17,6.63
Permanente,Atlántico,Aguacate,Cosechas,2022,7.82,4.65,9.31,12.9,10.72,12.56,9.14,5.61,5.27,6.53,7.75,7.73
Permanente,Bolívar,Aguacate,Cosechas,2022,0,2.15,13.82,30.87,23.19,9.36,3.49,5.93,1.98,2.46,4.61,2.15
